text,triplets,relations,definitions
"Gave d'Ossau is formed in Gabas from the confluence of two gaves coming from both sides of the Pic du Midi d'Ossau: the Gave de Bious, from the Pic d'Astu (west) the Gave du Brousset, from the Anéou Circus (east).","[[""Gave d'Ossau"", 'tributary', 'Gave de Bious']]",['tributary'],tributary: The subject entity is a stream or river that flows into and contributes water to the larger body of water specified by the object entity.
The capital of Meghalaya is Shillong.,"[['Meghalaya', 'capital', 'Shillong']]",['capital'],capital: The subject entity is the governing city or administrative center of the location specified by the object entity.
"Matthew Fitt uses the phrase ""in the days of auld lang syne"" as the equivalent of ""once upon a time"" in his retelling of fairy tales in the Scots language.","[['Auld Lang Syne', 'language of work or name', 'Scots language']]",['language of work or name'],language of work or name: The subject entity is associated with or expressed in the language specified by the object entity.
"National Health Laboratory Service was created by merging the South African Institute for Medical Research (SAIMR), the National Centre for Occupational Health and the National Institute for Virology.","[['National Health Laboratory Service', 'subsidiary', 'South African Institute for Medical Research']]",['subsidiary'],subsidiary: The subject entity is a subsidiary or a part of the organization specified by the object entity.
"Alka-Seltzer contains three active ingredients: aspirin (acetylsalicylic acid) (ASA), sodium bicarbonate, and anhydrouscitric acid.","[['Alka-Seltzer', 'has active ingredient', 'Aspirin']]",['has active ingredient'],has active ingredient: The subject entity contains or is composed of the active ingredient specified by the object entity.
"Qiqqa combines PDF reference management tools, a citation manager, and a mind map brainstorming tool.","[['Qiqqa', 'readable file format', 'PDF']]",['readable file format'],readable file format: The subject entity is compatible with or utilizes the file format specified by the object entity for its functionality.
A teaching order is a Catholic religious institute whose particular charism is education.,"[['Teaching order', 'interested in', 'Education']]",['interested in'],"interested in: The subject entity has a focus or concern related to the object entity, indicating a connection or engagement with the specified area or field."
"3724 Annenskij was discovered on 23 December 1979, by Soviet astronomer Lyudmila Zhuravleva at the Crimean Astrophysical Observatory in Nauchnij, on the Crimean peninsula.","[['3724 Annenskij', 'discoverer or inventor', 'Lyudmila Zhuravleva'], ['3724 Annenskij', 'site of astronomical discovery', 'Crimean Astrophysical Observatory'], ['3724 Annenskij', 'time of discovery or invention', '23 December 1979']]","['site of astronomical discovery', 'discoverer or inventor', 'time of discovery or invention']","site of astronomical discovery: The subject entity was discovered at the location specified by the object entity, which is an astronomical observatory or site.

discoverer or inventor: The subject entity was discovered or invented by the person or entity specified by the object entity.

time of discovery or invention: The subject entity was discovered or invented on the date specified by the object entity."
"Ruhl was convicted for a murder committed on a government reservation, which made Henry Ruhl a federal capital crime.","[['Henry Ruhl', 'convicted of', 'Murder']]",['convicted of'],convicted of: The subject entity has been found guilty of the crime specified by the object entity.
"The Gospel of John does not include this episode, but tells of Jesus washing the feet of the apostles, giving the new commandment ""to love one another as I have loved you"", and has a detailed farewell discourse by Jesus, calling the apostles who follow Last Supper's teachings ""friends and not servants"", as he prepares them for his departure.","[['Last Supper', 'participant', 'Jesus']]",['participant'],participant: The subject entity is involved in or takes part in the event or activity specified by the object entity.
"In 1863, Cambodia became a protectorate of France, and later was incorporated into French Indochina of Southeast Asia.","[['Cambodia', 'located on terrain feature', 'Southeast Asia'], ['Cambodia', 'diplomatic relation', 'France']]","['located on terrain feature', 'diplomatic relation']","located on terrain feature: The subject entity is situated within or on the geographical area or terrain feature specified by the object entity.

diplomatic relation: The subject entity has a formal relationship or connection with the entity specified by the object entity, often involving political or governmental interactions."
"Gardenvale railway station opened on 10 December 1906, with the whole cost of providing the station being met by the residents of the district.","[['Gardenvale railway station', 'date of official opening', '10 December 1906']]",['date of official opening'],date of official opening: The subject entity was officially opened on the date specified by the object entity.
Filippo Carafa della Serra was a member of a family which worked for the Catholic Church in many roles over centuries.,"[['Filippo Carafa della Serra', 'religion', 'Catholic Church']]",['religion'],religion: The subject entity is associated with or belongs to the religious organization specified by the object entity.
"Metronidazole is effective for dracunculiasis, giardiasis, trichomoniasis, and amebiasis.","[['Metronidazole', 'medical condition treated', 'Giardiasis']]",['medical condition treated'],medical condition treated: The subject entity is effective in treating the medical condition specified by the object entity.
Yonehiko Kitagawa is a graduate of Hosei University.,"[['Yonehiko Kitagawa', 'blood type', 'A']]",['blood type'],blood type: The subject entity has the specified blood type indicated by the object entity.
Woldia S.C.'s home stadium is Woldiya Stadium.,"[['Woldia S.C.', 'home venue', 'Woldiya Stadium']]",['home venue'],home venue: The subject entity is associated with the location specified by the object entity as its primary place for hosting events or activities.
San Fermín de los Navarros mixes Neo-Mudéjar and Gothic Revival elements.,"[['San Fermín de los Navarros', 'architectural style', 'Neo-Mudéjar']]",['architectural style'],architectural style: The subject entity is characterized by or embodies the architectural style specified by the object entity.
The United States secretary of agriculture is the head of the United States Department of Agriculture.,"[['United States Secretary of Agriculture', 'organization directed from the office or person', 'United States Department of Agriculture']]",['organization directed from the office or person'],organization directed from the office or person: The subject entity is responsible for overseeing and managing the organization specified by the object entity.
The Director reports to the Director of National Intelligence (DNI) and is assisted by the Deputy Director of the Central Intelligence Agency.,"[['Director of the Central Intelligence Agency', 'substitute/deputy/replacement of office/officeholder', 'Deputy Director of the Central Intelligence Agency']]",['substitute/deputy/replacement of office/officeholder'],"substitute/deputy/replacement of office/officeholder: The subject entity serves in a role that acts as a substitute, deputy, or replacement for the office or officeholder specified by the object entity."
"Serbian Orthodox Church is organized into metropolises and eparchies located primarily in Serbia, Bosnia and Herzegovina, Montenegro, and Croatia.","[['Serbian Orthodox Church', 'applies to jurisdiction', 'Montenegro'], ['Serbian Orthodox Church', 'applies to jurisdiction', 'Croatia'], ['Serbian Orthodox Church', 'applies to jurisdiction', 'Bosnia and Herzegovina']]",['applies to jurisdiction'],applies to jurisdiction: The subject entity has authority or governance over the geographical area or political entity specified by the object entity.
Elephant Micah and the Palmyra Palm contains material from the same sessions that would produce Elephant Micah and the Loud Guitars and Elephant Micah and the Agrarian Malaise.,"[['Elephant Micah and the Palmyra Palm', 'followed by', 'Elephant Micah and the Loud Guitars']]",['followed by'],followed by: The subject entity is succeeded or comes after the object entity in a sequence or timeline.
"I Remember Yesterday includes the singles ""Can't We Just Sit Down (And Talk It Over)"", ""I Feel Love"", the title track, ""Love's Unkind"" and ""Back in Love Again"".","[['I Remember Yesterday', 'tracklist', 'I Feel Love'], ['I Remember Yesterday', 'tracklist', ""Love's Unkind""], ['I Remember Yesterday', 'tracklist', 'Back in Love Again']]",['tracklist'],tracklist: The subject entity includes the specified items as part of its collection or list of tracks.
D'Arblay Street is crossed only by Berwick Street.,"[[""D'Arblay Street"", 'connects with', 'Berwick Street']]",['connects with'],"connects with: The subject entity is linked or joined to the object entity, indicating a relationship where the two entities meet or intersect."
Harold C. Train was father of Admiral Harry D. Train II and grandfather of Rear Admiral Elizabeth L. Train.,"[['Harold C. Train', 'military rank', 'Admiral']]",['military rank'],military rank: The subject entity holds the specified military rank or title indicated by the object entity.
"Gene Kelly filmography was voted the 15th most popular film actor on the American Film Institutes millennium list, while Singin' in the Rain was voted the most popular movie musical of all time.","[['Gene Kelly filmography', 'is a list of', 'Film']]",['is a list of'],is a list of: The subject entity is a compilation or collection that includes the items specified by the object entity.
Philipsdam separates water of the lakes Krammer and Volkerak from the Oosterschelde.,"[['Philipsdam', 'located in or next to body of water', 'Krammer'], ['Philipsdam', 'located in or next to body of water', 'Volkerak']]",['located in or next to body of water'],located in or next to body of water: The subject entity is situated in or adjacent to the body of water specified by the object entity.
"Gobio delyamurei is considered to be critically endangered, as it lives only along a 1-km stretch in the Chornaya River, below the Chornaya Gorge.","[['Gobio delyamurei', 'IUCN conservation status', 'Critically endangered']]",['IUCN conservation status'],"IUCN conservation status: The subject entity is classified under the conservation status specified by the object entity, indicating its level of threat to survival in the wild."
"It is the administrative center of the Polonne Raion (district), and is located at around 50°70N 27°310E.","[['Polonne', 'capital of', 'Polonne Raion']]",['capital of'],capital of: The subject entity serves as the administrative center or capital for the entity specified by the object entity.
"Royal Rumble was a professional wrestling pay-per-view event and WWE Network event produced by WWE for Royal Rumble ( 2019 )'s Raw, SmackDown, and 205 Live brands.","[['Royal Rumble ( 2019 )', 'organizer', 'WWE']]",['organizer'],organizer: The subject entity is responsible for organizing or producing the event specified by the object entity.
"Zungenbecken is a hollow that is left behind by the ice mass, as the snout of the glacier (German: Gletscherzunge) recedes, which initially fills with meltwater, forming a proglacial lake, and later may be filled with surface water from streams or precipitation.","[['Zungenbecken', 'has cause', 'Glacier']]",['has cause'],has cause: The subject entity is the result of or is influenced by the factor specified by the object entity.
Egyptair is a member of Star Alliance and the Arab Air Carriers Organization.,"[['EgyptAir', 'airline alliance', 'Star Alliance']]",['airline alliance'],airline alliance: The subject entity is a member of the airline alliance specified by the object entity.
"Tarang wa is defined as the area of a square whose sides measure exactly one wa (two metres), equivalent to four square metres.","[['Tarang wa', 'measured physical quantity', 'Area']]",['measured physical quantity'],measured physical quantity: The subject entity is a specific type of measurement that quantifies the physical property specified by the object entity.
"Nidda ( river ) springs from the Vogelsberg on the Taufstein mountain range near the town of Schotten, flows through the Niddastausee dam, and the towns of Nidda, Niddatal, Karben, and Bad Vilbel.","[['Nidda ( river )', 'lakes on river', 'Niddastausee']]",['lakes on river'],lakes on river: The subject entity is associated with or has a lake that is located on or formed by the river specified by the object entity.
"Piggy ( song ) was written by Trent Reznor, co-produced by Flood, and recorded at Le Pig (10050 Cielo Drive).","[['Piggy ( song )', 'lyrics by', 'Trent Reznor']]",['lyrics by'],lyrics by: The subject entity was written or composed by the person or entity specified by the object entity.
"Jeff Bandura was drafted in the second round, 22nd overall by the Vancouver Canucks in the 1977 NHL Entry Draft.","[['Jeff Bandura', 'drafted by', 'Vancouver Canucks']]",['drafted by'],drafted by: The subject entity was selected or chosen by the organization or team specified by the object entity during a draft event.
"Sir William Lawrence , 5th Baronet contracted polio at the age of three, and used a wheelchair for the rest of his life.","[['Sir William Lawrence , 5th Baronet', 'medical condition', 'Polio']]",['medical condition'],medical condition: The subject entity is diagnosed with or affected by the medical condition specified by the object entity.
Uro ( trucks ) quickly established themselves as a leading player in the 4x4 rural fire-fighting and construction Spanish truck markets.,"[['Uro ( trucks )', 'product or material produced', 'Truck']]",['product or material produced'],product or material produced: The subject entity is associated with or produces the item or material specified by the object entity.
National Route 25 ( Argentina ) extends from the juncture with National Route 40 in Tecka to the bridge on the Chubut River in the city of Rawson.,"[['National Route 25 ( Argentina )', 'terminus location', 'Tecka']]",['terminus location'],terminus location: The subject entity represents a route that has a specific endpoint or terminus located at the place specified by the object entity.
"Allauddinum Albhutha Vilakkum was simultaneously filmed in Malayalam and Tamil languages, the latter as Allaudinaum Arputha Vilakkum (transl.","[['Allauddinum Albhutha Vilakkum', 'original language of film or TV show', 'Malayalam']]",['original language of film or TV show'],original language of film or TV show: The subject entity was produced in the language specified by the object entity.
Natalia Annenko were coached by Ludmila Pakhomova and Tatiana Tarasova.,"[['Natalia Annenko', 'head coach', 'Tatiana Tarasova']]",['head coach'],head coach: The subject entity is guided and trained by the person specified by the object entity in a coaching capacity.
"La forza del destino was first performed in the Bolshoi Kamenny Theatre of Saint Petersburg, Russia, on 10 November 1862 O.S.","[['La forza del destino', 'date of first performance', '10 November 1862']]",['date of first performance'],date of first performance: The subject entity was first performed on the date specified by the object entity.
"Fukuonji Station is on the Yokogawara Line, operated by Iyotetsu.","[['Fukuonji Station', 'connecting line', 'Yokogawara Line']]",['connecting line'],connecting line: The subject entity is linked to or served by the transportation line specified by the object entity.
"The series, which was first run from 13 to 27 October 2009, was well received by critics, who said the documentary was more interesting than The Force ( 2009 TV series ) had anticipated.","[['The Force ( 2009 TV series )', 'end time', '27 October 2009']]",['end time'],end time: The subject entity concluded or finished at the time specified by the object entity.
The Miss Tennessee competition is the pageant that selects the representative for the state of Tennessee in the Miss America Scholarship Competition.,"[['Miss Tennessee', 'qualifies for event', 'Miss America']]",['qualifies for event'],qualifies for event: The subject entity is eligible to participate in or represents the event specified by the object entity.
Antonio Conte is the head coach at Serie A club Inter Milan.,"[['Antonio Conte', 'coach of sports team', 'Inter Milan']]",['coach of sports team'],coach of sports team: The subject entity is the head coach or manager of the sports team specified by the object entity.
"Carcina quercana is occasionally known by several common names including oak lantern, long-horned flat-body, and oak-skeletonizer moth (the last most common in North America).","[['Carcina quercana', 'host', 'Oak']]",['host'],"host: The subject entity is a host for the organism or entity specified by the object entity, indicating a relationship where the subject provides a habitat or sustenance for the object."
"Considered the patron saint of speedy cases, Expeditus is commemorated by the Catholic Church on 19 April.","[['Expeditus', 'canonization status', 'Saint']]",['canonization status'],"canonization status: The subject entity has been recognized or designated as a saint, as indicated by the object entity."
"Compared to fully object-oriented programming languages like Smalltalk, in Oberon-2 basic types are not objects, classes are not objects, many operations are not methods, there is no message passing (to a certain extent it can be emulated by reflection and through message extension, as demonstrated in ETH Oberon), and polymorphism is limited to subclasses of a common class (no duck typing like in  Python, and it's not possible to define interfaces like in Java).","[['Oberon-2', 'programming paradigm', 'Object-oriented programming']]",['programming paradigm'],"programming paradigm: The subject entity is associated with the programming paradigm specified by the object entity, indicating the fundamental style or approach to programming that the subject follows."
Kinki Expressway is owned and operated by West Nippon Expressway Company.,"[['Kinki Expressway', 'maintained by', 'West Nippon Expressway Company']]",['maintained by'],maintained by: The subject entity is kept in good condition and managed by the organization or entity specified by the object entity.
"""Arrogance"" comes from the Latin ""adrogare"" and it means the feeling a right to demand certain attitudes and behaviors from other people, ""pretension"" which is also associated with it is not synonymous to hubris.","[['Hubris', 'said to be the same as', 'arrogance']]",['said to be the same as'],said to be the same as: The subject entity is described or identified as being equivalent or similar to the object entity in meaning or concept.
"Later Jules Boucherit taught at the same conservatoire; notable students include Serge Blanc, Ginette Neveu, Manuel Rosenthal, Henri Temianka, Manuel Quiroga, Ivry Gitlis, Michel Schwalbé, Devy Erlih, Michèle Auclair and Marcel Chailley, who became Boucherit's assistant.","[['Jules Boucherit', 'student', 'Manuel Rosenthal']]",['student'],"student: The subject entity is a teacher or instructor of the object entity, who is a learner or pupil in the subject entity's field of expertise."
"Reboot Restore Rx by Horizon Data Sys, is a freeware application for Microsoft Windows that acts as an alternative to Windows SteadyState in that it allows users to restore the computer back to an established baseline.","[['Reboot Restore Rx', 'license', 'Freeware']]",['license'],license: The subject entity is distributed under the type of license specified by the object entity.
"Completed at Kiel early in January 1918, SM U-111 went to the Kiel School for shakedown and training until March, when she joined 4.","[['SM U-111', 'location of final assembly', 'Kiel']]",['location of final assembly'],location of final assembly: The subject entity was assembled or completed at the location specified by the object entity.
Temsirolimus is a derivative and prodrug of sirolimus and is sold as Torisel.,"[['Temsirolimus', 'active ingredient in', 'Torisel']]",['active ingredient in'],active ingredient in: The subject entity is the active component or substance that is contained within the product specified by the object entity.
"26 in E-flat major, Perger 17, Sherman 26, MH 340, written in Salzburg in 1783, was the first of the only three symphonies published in Symphony No. 26 ( Michael Haydn )'s lifetime.","[['Symphony No. 26 ( Michael Haydn )', 'tonality', 'E-flat major']]",['tonality'],tonality: The subject entity is composed in the musical tonality specified by the object entity.
"The term was coined in 1969 by architect Paolo Soleri, who believed that a completed arcology would provide space for a variety of residential, commercial, and agricultural facilities while minimizing individual human environmental impact.","[['Arcology', 'named by', 'Paolo Soleri']]",['named by'],named by: The subject entity was given its name by the person or entity specified by the object entity.
Grandsherred was created in 1859 by the merger of the parishes Hovin in Tinn and Gransherad in Hjartdal.,"[['Gransherad', 'separated from', 'Tinn'], ['Gransherad', 'separated from', 'Hjartdal']]",['separated from'],separated from: The subject entity was formed or established as a distinct entity by being divided or split away from the entity specified by the object.
"During the invasion, two of Yugoslav destroyer Zagreb's officers scuttled her at the Bay of Kotor on 17 April 1941 to prevent her capture by approaching Italian forces.","[['Yugoslav destroyer Zagreb', 'service retirement', '17 April 1941']]",['service retirement'],service retirement: The subject entity was retired from active service on the date specified by the object entity.
Schumann incorporated F-A-E Sonata's two movements into his Violin Sonata No.,"[['F-A-E Sonata', 'instrumentation', 'Violin']]",['instrumentation'],instrumentation: The subject entity is composed for or features the instrument specified by the object entity.
"Jean-François Gerbillon entered the Society of Jesus, 5 Oct, 1670, and after completing the usual course of study taught grammar and humanities for seven years.","[['Jean-François Gerbillon', 'religious order', 'Society of Jesus']]",['religious order'],religious order: The subject entity is a member of the religious order specified by the object entity.
"Although Iceland's parliament (Althing) was suspended from 1799 to 1845, the island republic has been credited with sustaining the world's oldest and longest-running parliament.","[['Iceland', 'legislative body', 'Althing']]",['legislative body'],legislative body: The subject entity is associated with or has a governing or legislative function represented by the object entity.
"The slow simmering process transfers flavours, colours and nutrients to the water, where Stock pot blend, and a new ingredient is thus created, the broth or stock.","[['Stock pot', 'physically interacts with', 'Broth']]",['physically interacts with'],"physically interacts with: The subject entity has a physical relationship or connection with the object entity, indicating that they affect or influence each other in a tangible way."
APOEL won 1978 -- 79 Cypriot Cup's 11th Cypriot Cup trophy after beating AEL Limassol 1-0 in the final.,"[['1978 -- 79 Cypriot Cup', 'participating team', 'AEL Limassol']]",['participating team'],participating team: The subject entity includes the team specified by the object entity as one of the teams that took part in the event.
"The soundtrack, compiled by Giorgio Moroder, spawned several hit songs, including ""Maniac"" (performed by Michael Sembello), and the Academy Award-winning ""Flashdance... What a Feeling"", which was written for the film by Moroder, with lyrics by Keith Forsey and the singer Irene Cara.","[['Flashdance', 'composer', 'Giorgio Moroder']]",['composer'],composer: The subject entity was composed by the person or entity specified by the object entity.
"Richard II , Duke of Normandy was a Norman nobleman of the House of Normandy.","[['Richard II , Duke of Normandy', 'family', 'House of Normandy']]",['family'],family: The subject entity is a member of or is related to the family or lineage specified by the object entity.
National Front for Salvation ( Tunisia )'s president and co-founder Touhami Abdouli won a seat in the district of Sidi Bouzid after the parliamentary election of 2014.,"[['National Front for Salvation ( Tunisia )', 'chairperson', 'Touhami Abdouli']]",['chairperson'],chairperson: The subject entity is the person who holds the position of chairperson or leader of the organization specified by the object entity.
MS Floria was set to sail between Turku and Stockholm.,"[['MS Floria', 'home port', 'Stockholm'], ['MS Floria', 'home port', 'Turku']]",['home port'],home port: The subject entity is designated to operate or is based in the location specified by the object entity.
Esseltub was designed by Stig Åke Möller and digitalised by Bo Berndal.,"[['Esseltub', 'designed by', 'Bo Berndal']]",['designed by'],designed by: The subject entity was created or conceptualized by the person or entity specified by the object entity.
Gerald David Lascelles was styled The Honourable Gerald Lascelles.,"[['Gerald David Lascelles', 'honorific prefix', 'The Honourable']]",['honorific prefix'],"honorific prefix: The subject entity is associated with a title or honorific that precedes its name, as specified by the object entity."
"According to Abduluahab al-Museh, the organizing committee's doping and medical staff, during the accident, Kim Hyung-chil suffered from severe trauma to his head, neck and upper chest and had multiple skull fractures.","[['Kim Hyung-chil', 'manner of death', 'Accident']]",['manner of death'],manner of death: The subject entity experienced the specified manner of death as indicated by the object entity.
Bidhannagar Road railway station is linked to the Sealdah South lines via Sir Gurudas Banerjee Halt railway station.,"[['Bidhannagar Road railway station', 'adjacent station', 'Sir Gurudas Banerjee Halt railway station']]",['adjacent station'],"adjacent station: The subject entity is located next to or in close proximity to the object entity, indicating a direct connection between the two stations."
"Thomas Mann's analysis and critique of the European and German soul used modernized versions of German and Biblical stories, as well as the ideas of Johann Wolfgang von Goethe, Friedrich Nietzsche and Arthur Schopenhauer.","[['Thomas Mann', 'influenced by', 'Johann Wolfgang von Goethe']]",['influenced by'],"influenced by: The subject entity was affected or shaped in its thoughts, works, or ideas by the person or entity specified by the object entity."
"Isonoe was a lover of Zeus and bore a son by him, Orchomenos (or Chryses).","[['Isonoe', 'partner', 'Zeus']]",['partner'],partner: The subject entity is in a romantic or intimate relationship with the object entity.
"Cardiology (from Greek  kardiā, ""heart"" and - -logia, ""study"") is a branch of medicine that deals with the disorders of the heart as well as some parts of the circulatory system.","[['Cardiology', 'studies', 'Heart']]",['studies'],"studies: The subject entity is focused on the examination or analysis of the object entity, which is a specific field or aspect of knowledge."
"It is based on the 1946 novel ""Trois Chambres à Manhattan"" (which has been translated into English as ""Three Rooms in Manhattan"" and ""Three Bedrooms in Manhattan"") by Belgian writer Georges Simenon, about a romance between François, a French actor, and Kay, an American woman.","[['Three Rooms in Manhattan', 'after a work by', 'Georges Simenon']]",['after a work by'],after a work by: The subject entity is inspired by or derived from the work created by the person or entity specified by the object entity.
An auxiliary label or cautionary and advisory label (CAL) is a label added on to a dispensed medication package by a pharmacist in addition to the usual prescription label.,"[['Auxiliary label', 'used by', 'Pharmacist']]",['used by'],used by: The subject entity is utilized or employed by the person or entity specified by the object entity.
"The jūnihitoe, despite the name, varies in its exact number of layers, and is composed of several different kimono-style garments.","[['Jūnihitoe', 'has parts of the class', 'Kimono']]",['has parts of the class'],has parts of the class: The subject entity is classified as having components or elements that belong to the category specified by the object entity.
Harwich Formation is overlain by the London Clay Formation.,"[['Harwich Formation', 'underlies', 'London Clay']]",['underlies'],underlies: The subject entity is positioned beneath or supports the object entity in a geological context.
Meanwhile J. William Lloyd's friend Abbott had moved from socialism towards anarchism.,"[['J. William Lloyd', 'political ideology', 'Anarchism']]",['political ideology'],political ideology: The subject entity adheres to or is associated with the political ideology specified by the object entity.
"Intelsat 2 was removed from geostationary orbit in February 2011, being placed into graveyard orbit on 28 February.","[['Intelsat 2', 'type of orbit', 'Geostationary orbit']]",['type of orbit'],type of orbit: The subject entity is associated with the specific type of orbit indicated by the object entity.
"On 17 November 1613, Muzio Vitali was consecrated bishop by Giovanni Garzia Mellini, Cardinal-Priest of Santi Quattro Coronati with Giovanni Battista del Tufo, Bishop Emeritus of Acerra, and Antonio Seneca, Bishop of Anagni, serving as co-consecrators.","[['Muzio Vitali', 'consecrator', 'Giovanni Battista del Tufo'], ['Muzio Vitali', 'consecrator', 'Antonio Seneca'], ['Muzio Vitali', 'consecrator', 'Giovanni Garzia Mellini']]",['consecrator'],"consecrator: The subject entity was consecrated by the person or entity specified by the object entity, indicating a formal religious appointment or ordination."
Laimdota ( given name )'s name day is February 11.,"[['Laimdota ( given name )', 'name day', 'February 11']]",['name day'],"name day: The subject entity has a specific day associated with it, which is celebrated or recognized as its name day, as indicated by the object entity."
"When Stone throwing is directed at another person (called stone pelting in India), it is often considered a form of criminal assault.","[['Stone throwing', 'uses', 'stone']]",['uses'],uses: The subject entity employs or utilizes the object entity as a means to achieve a specific action or purpose.
"Important amines include amino acids, biogenic amines, trimethylamine, and aniline; see Category:Amines for a list of amines.","[['Amine', ""topic's main category"", 'Category:Amines']]","[""topic's main category""]",topic's main category: The subject entity is associated with or belongs to the main category specified by the object entity.
"However, because of complications with bus lines not overlapping with each other, the bus companies finally decided to unite and become Kolumbus, or Rogaland Kollektivtrafikk (Rogaland Public Transports) as it is also known as.","[['Kolumbus', 'operating area', 'Rogaland']]",['operating area'],operating area: The subject entity operates within the geographical area specified by the object entity.
"As Aqualad, Garth ( comics ) was the teen sidekick and protégé to his guardian, the super-hero known as Aquaman, bearing the same super-abilities as his mentor that allow him to breathe underwater and communicate with marine life.","[['Garth ( comics )', 'sidekick of', 'Aquaman'], ['Garth ( comics )', 'appears in the form of', 'Aqualad']]","['appears in the form of', 'sidekick of']","appears in the form of: The subject entity is represented or manifests as the entity specified by the object entity.

sidekick of: The subject entity serves as a sidekick or assistant to the entity specified by the object entity."
"Kepler-138d is remarkable for resembling a miniaturized gas giant with a density too low for a rocky planet, despite being less massive than the Earth.","[['Kepler-138', 'child astronomical body', 'Kepler-138d']]",['child astronomical body'],"child astronomical body: The subject entity is a parent or host astronomical body that has a relationship with the object entity, which is a child or satellite astronomical body associated with it."
"According to halakha (Jewish religious law), Shabbat is observed from a few minutes before sunset on Friday evening until the appearance of three stars in the sky on Saturday night.","[['Shabbat', 'day of week', 'Saturday'], ['Shabbat', 'day of week', 'Friday']]",['day of week'],day of week: The subject entity is associated with or occurs on the day of the week specified by the object entity.
"Nanibaa ' Garrison is a member of the Navajo Nation, and her career has focused on studies of health conditions prevalent in, and attitudes toward genetics research among, the Navajo community.","[[""Nanibaa ' Garrison"", 'ethnic group', 'Navajo']]",['ethnic group'],ethnic group: The subject entity belongs to the ethnic group specified by the object entity.
Quinary (base-5 or pental) is a numeral system with five as the base.,"[['Quinary', 'radix', '5']]",['radix'],"radix: The subject entity is defined by the base or radix specified by the object entity, indicating the number of unique digits used in the numeral system."
"A common practice in the cruise industry in listing cruise ship transfers and orders is to list the smaller operating company, not the larger holding corporation, as the recipient cruise line of the sale, transfer, or new order.","[['Cruise line', 'item operated', 'Cruise ship']]",['item operated'],"item operated: The subject entity is responsible for the operation of the object entity, indicating a functional relationship where the subject manages or utilizes the object in its activities."
Upsilon Orionis is a suspected Beta Cephei variable.,"[['Upsilon Orionis', 'type of variable star', 'Beta Cephei variable']]",['type of variable star'],type of variable star: The subject entity is classified as a specific type of variable star indicated by the object entity.
William A. Fraker was nominated five times for the Academy Award for Best Cinematography.,"[['William A. Fraker', 'nominated for', 'Academy Award for Best Cinematography'], ['William A. Fraker', 'nominated for', 'Academy Award for Best Cinematography'], ['William A. Fraker', 'nominated for', 'Academy Award for Best Cinematography'], ['William A. Fraker', 'nominated for', 'Academy Award for Best Cinematography'], ['William A. Fraker', 'nominated for', 'Academy Award for Best Cinematography']]",['nominated for'],nominated for: The subject entity has been put forward as a candidate for the award or recognition specified by the object entity.
The Visigoths entered Hispania (modern Spain and Portugal) in 415 and Visigothic art and architecture rose to be the dominant people there until the Umayyad conquest of Hispania of 711 brought their kingdom to an end.,"[['Visigothic art and architecture', 'culture', 'Visigoths']]",['culture'],culture: The subject entity represents a cultural expression or manifestation that is associated with the group specified by the object entity.
Boomer and Gio is hosted by former National Football League player Boomer Esiason and radio personality Gregg Giannotti.,"[['Boomer and Gio', 'presenter', 'Boomer Esiason']]",['presenter'],presenter: The subject entity is hosted or presented by the person or entity specified by the object entity.
"Brought to America as a slave, Richard Pierpoint was granted freedom to fight on the side of the British in the American Revolution.","[['Richard Pierpoint', 'social classification', 'slave']]",['social classification'],social classification: The subject entity is categorized or identified within a specific social class or status as indicated by the object entity.
Valencia ( Corts Valencianes constituency )'s boundaries correspond to those of the Spanish province of Valencia.,"[['Valencia ( Corts Valencianes constituency )', 'coextensive with', 'Province of Valencia']]",['coextensive with'],"coextensive with: The subject entity shares the same boundaries or extent as the object entity, meaning they occupy the same geographical area."
"Los viejos estandartes (Spanish: [loz jexos estandates]; ""The old banners"" in Spanish) is the official hymn and march of the Chilean Army.","[['Los viejos estandartes', 'anthem', 'Chilean Army']]",['anthem'],anthem: The subject entity serves as the official song or hymn associated with the entity specified by the object entity.
International Jazz Day is celebrated annually on April 30.,"[['International Jazz Day', 'day in year for periodic occurrence', 'April 30']]",['day in year for periodic occurrence'],day in year for periodic occurrence: The subject entity is celebrated or occurs on the specific date indicated by the object entity each year.
"While the top quark is the heaviest known quark, the stop squark is actually often the lightest squark in many supersymmetry models.","[['Stop squark', 'superpartner of', 'Top quark']]",['superpartner of'],"superpartner of: The subject entity is a theoretical particle that corresponds to the object entity in a supersymmetry model, indicating a relationship where the subject is a partner particle of the object."
He Yan thus grew up as Cao Cao's stepson.,"[['He Yan', 'stepparent', 'Cao Cao']]",['stepparent'],"stepparent: The subject entity is the stepparent of the object entity, indicating a familial relationship where the subject is married to or in a partnership with the biological parent of the object entity."
"However, The Albany Academy and Albany Academy for Girls continue to grant their own diplomas.","[['Albany Academy for Girls', 'affiliation', 'The Albany Academy']]",['affiliation'],affiliation: The subject entity is associated with or connected to the organization or entity specified by the object entity.
The New York Times editorial board said that I Am Part of the Resistance Inside the Trump Administration knows the author's identity but granted the person anonymity to protect them from reprisal.,"[['I Am Part of the Resistance Inside the Trump Administration', 'published in', 'The New York Times']]",['published in'],published in: The subject entity was published or featured in the publication specified by the object entity.
